itemID,title,author,publisher,main topic,subtopics,click,basket,order
72543,Black Dagger - Phury & Cormia,J. R. Ward,Heyne Taschenbuch,FMR,"[1KBB-US-NAK,FMX,FP,3MRBA]",83.0,0.0,0.0
13855,Das große Bastelbuch für kreative Entdecker,Sven Nordqvist,Edel Kids Books,YBG,"[5AD,YB,YBG,YBL]",30.0,2.0,0.0
65634,It Only Happens in the Movies,Holly Bourne,Usborne Publishing,YFB,"[5AQ,YFM]",27.0,3.0,2.0
71896,Der Triumph der Zwerge,Markus Heitz,Piper,FMB,[FMH],16.0,3.0,0.0
56766,Die Spiderwick Geheimnisse 01 - Eine unglaubliche Entdeckung,"Holly Black, Tony DiTerlizzi",cbj,YFC,"[5AJ,YFC,YFH]",41.0,3.0,0.0
75990,Die Spiderwick Geheimnisse 02 - Gefährliche Suche,"Holly Black, Tony DiTerlizzi",cbj,YFC,"[5AJ,YFC,YFH]",4.0,2.0,0.0
66314,Die Chroniken von Narnia - Illustrierte Gesamtausgabe,"Clive Staples Lewis, C. S. Lewis",Ueberreuter Verlag,YFH,"[5AL,FM,YFH]",464.0,18.0,10.0
6422,Die Chronik des Eisernen Druiden 08. Aufgespießt,Kevin Hearne,Klett-Cotta Verlag,FYT,"[FM,FYT]",13.0,0.0,0.0
65865,Dangerous Boys - Wenn du mich findest,Catherine Doyle,cbt,YFCB,"[5AQ,1KBB-US-MLCC,YFM]",12.0,2.0,3.0
12633,Dangerous Boys - Wenn wir uns verlieren,Catherine Doyle,cbt,YFCB,"[5AQ,1KBB-US-MLCC,YFM]",13.0,4.0,4.0
1713,Kiss Me Twice - Kiss the Bodyguard 2,Stella Tack,Ravensburger Verlag,YFM,"[FR,FRD,YFB,YFM]",345.0,48.0,22.0
69584,Dangerous Boys - Wenn ich dir vertraue,Catherine Doyle,cbt,YFM,"[5AQ,1KBB-US-MLCC,YFCB,YFM]",9.0,2.0,2.0
10666,Aus den Filmen zu Harry Potter: Eine magische Reise: Alles für deine Fahrt nach Hogwarts,"Insight Editions, Panini",Panini Verlags GmbH,FMM,"[5AK,ATF,WZS,YBL,YZS]",2218.0,94.0,24.0
30497,Das Spiel der Götter 18,Steven Erikson,Blanvalet Taschenbuchverl,FMB,"[FBA,FMB,FYT]",10.0,0.0,0.0
35114,Das Spiel der Götter 19,Steven Erikson,Blanvalet Taschenbuchverl,FMB,"[FBA,FMB,FYT]",6.0,0.0,0.0
31091,Die Hexenholzkrone 1,Tad Williams,Klett-Cotta Verlag,FMB,[FYT],102.0,3.0,2.0
54132,An Absolutely Remarkable Thing,Hank Green,Penguin LCC US,FBA,"[FJ,FL,FMW,FXB]",53.0,2.0,1.0
14207,Der letzte Wunsch,Andrzej Sapkowski,dtv Verlagsgesellschaft,ATFN,"[ATFN,FJ,FM,FYB,FYT]",612.0,63.0,35.0
809,Geschichten aus dem gefährlichen Königreich,J.R.R. Tolkien,Klett-Cotta Verlag,FMB,"[FYB,FYT]",15.0,6.0,1.0
73840,Astrid Lindgren,María Isabel Sánchez Vegara,Insel Verlag GmbH,JBSF1,"[5AF,JBSF1,YBCS,YBL,YNB,YNG,YNL,YNM,YNMF,YX]",280.0,35.0,6.0
43652,Mein Freund Salim,Uticha Marmon,Magellan GmbH,YFB,"[5AJ,5PG]",12.0,3.0,1.0
16927,A Long Way Down,Jason Reynolds,Faber And Faber Ltd.,YFB,"[5AN,YDP,YFH,YFN,YXQ]",16.0,4.0,0.0
69262,Mein Immer-wieder-Stickerbuch: Ostern,Felicity Brooks,Usborne Verlag,YBG,"[5HPF,YBL]",275.0,44.0,3.0
48446,Escape-Stickerbuch - Juwelenraub,Philip Kiefer,Ars Edition GmbH,YBG,"[5AJ,YBG,YBL,YFCF,YNVP]",278.0,35.0,2.0
7512,Mein Glitzer-Sticker-Schloss: Meerjungfrauen,Laura Leintz,Carlsen Verlag GmbH,JNLA,"[5AF,4CA,JNLA,YBG,YBL]",15.0,1.0,1.0
42408,Mein Immer-wieder-Stickerbuch: Im Sommer,Hannah Watson,Usborne Verlag,YBG,[YBL],18.0,3.0,0.0
22212,Mein Anziehpuppen-Stickerbuch: Einhörner,Fiona Watt,Usborne Verlag,YBG,[YBL],352.0,64.0,11.0
78837,Mein Immer-wieder-Stickerbuch: Dschungel,Kirsteen Robson,Usborne Verlag,YBG,[YBL],159.0,30.0,14.0
23115,Rune,Inka Loreen Minden,Books on Demand,FFJ,"[5PSG,FFJ,FMR,FRD]",1.0,0.0,0.0
34965,The Cruel Prince,Holly Black,Hot Key Books,YNXB,"[5AN,YFH,YXF,YXG]",479.0,58.0,3.0
40673,Du hast aber Mut!,Brigitte Blobel,Arena Verlag GmbH,YFS,[5AH],3.0,0.0,0.0
78643,Wunder Sieh mich nicht an,Raquel J. Palacio,dtv Verlagsgesellschaft,YXHB,"[5AM,1KBB-US-NAK,YFB,YFN,YFS,YXHB,YXQ]",341.0,111.0,91.0
73628,Die Töchter des Drachen/Der Thron der Libelle,Wolfgang Hohlbein,Lübbe,FM,[FMB],93.0,2.0,0.0
32594,"Lovely Curse, Band 1: Erbin der Finsternis",Kira Licht,Ravensburger Verlag,FR,"[5AQ,5AX,FM,FMR,FRD,FRM,YFHR,YFM]",51.0,6.0,3.0
19070,City of Elements 1,Nena Tramountani,Oetinger Taschenbuch GmbH,YFHR,[5AQ],174.0,27.0,18.0
40949,Der siebte Sohn,Julia Maar,NOVA MD,DSY,"[DSY,FMH,FN,FYR,YFH,YFM]",1.0,0.0,0.0
36495,Gregs Tagebuch - Band 1 und 2,Jeff Kinney,Baumhaus Verlag GmbH,YFS,"[5AL,5AM,1KBB,YFS,3MR]",190.0,56.0,15.0
23654,Harry Potter 1 und der Stein der Weisen,Joanne K. Rowling,Carlsen Verlag GmbH,YFH,"[5AL,5LD,1DDU,6FG,FM,YFB,YFC,YFH,YFS]",1262.0,408.0,73.0
48285,Der dunkle Turm 1. Schwarz,Stephen King,Heyne Taschenbuch,FMB,"[FH,FK,FYT]",293.0,15.0,10.0
69849,The Crossing of Ingo,Helen Dunmore,HarperCollins Publishers,YFH,[5AL],11.0,0.0,0.0
44331,tiptoi® Die Welt der Musik,Inka Friese,Ravensburger Verlag,YNCS,"[5AD,YBG,YBL,YNCS]",320.0,34.0,10.0
33258,Spring in eine Pfütze! Das Buch zum Fertigmalen,ViktoriaSarina,CE Community Editions,WZG,"[5AJ,5JA,1KBB,WD,WZG,YBG,YBL,YZG,YZS]",137.0,18.0,11.0
4449,Trötsch Der kleine Maulwurf Puzzlebuch,Zdenek Miler,Trötsch Verlag GmbH,YBCS,"[5AD,YBG,YBL]",47.0,6.0,0.0
14526,Herr der Diebe,Cornelia Funke,Oetinger Taschenbuch GmbH,YF,[5AL],721.0,111.0,58.0
62556,Level 4. Die Stadt der Kinder,Andreas Schlüter,dtv Verlagsgesellschaft,YFCF,"[5AL,5AM,YFG,YXHB]",211.0,43.0,37.0
69185,Die Kunst des Zeichnens für Kinder,Gecko Keck,Frech Verlag GmbH,WFA,"[5,5A,5AK,5J,5JA,5JB,W,WF,WFA]",1818.0,155.0,35.0
38931,"Das XXL-Entdecker-Set - Geniale Maschinen - Mit 10 Modellen zum Selberbauen, Sachbuch, Experimenten ",Rob Colson,Edition Michael Fischer,YNTC,"[YBL,YNTD,YNTG]",330.0,40.0,4.0
31995,Die Chroniken von Alice - Dunkelheit im Spiegelland,Christina Henry,Penhaligon,FMT,"[FBA,FKM,FMT,FN,FYB,FYT,FYV]",407.0,38.0,3.0
25620,Feuer und Blut - Erstes Buch,George R.R. Martin,Penhaligon,FBA,"[FBA,FMB,FYT]",181.0,10.0,4.0
21235,Assassin's Apprentice (The Illustrated Edition),Robin Hobb,Random House LCC US,FMB,"[FJ,FMH,3KHF]",13.0,2.0,1.0
63730,Ich kann 1000 Dinge zeichnen. Kritzeln wie ein Profi!,Norbert Pautner,"Bassermann, Edition",YBG,"[5AF,YBL]",929.0,111.0,40.0
2835,"Fire & Frost, Band 2: Vom Feuer geküsst",Elly Blake,Ravensburger Verlag,YFH,"[5AQ,5HKA,5JA,FDB,FM,YFG,YFH,YFM]",28.0,8.0,0.0
21526,The House in the Cerulean Sea,T. J. Klune,Macmillan USA,FMK,[5PSG],107.0,13.0,2.0
56753,The House in the Cerulean Sea,Tj Klune,TOR BOOKS,FMK,[5PSG],183.0,6.0,1.0
72081,One Of Us Is Next,Karen M. McManus,Penguin Books Ltd (UK),YFCB,"[5AN,5X,1KBB,YFCF,YFM,YFS]",373.0,29.0,12.0
40913,144000,Cornelia de Pablos,Dachbuch Verlag GmbH,FBA,"[FBA,FDB,FDK]",28.0,2.0,0.0
11743,Lodernde Schwingen,Leigh Bardugo,Knaur Taschenbuch,FMB,"[FBA,FMB,FMR,FYT]",379.0,88.0,12.0
66553,Das Lied von Eis und Feuer,George R. R. Martin,Penhaligon,FMB,"[FMH,FZ,WFX,WZS]",99.0,1.0,1.0
74094,"Rätselblock ab 8 Jahre, Band 1, A5-Block",Agnes Spiecker,Hauschka Verlag,WDK,"[5AJ,4CD,WDK,YB,YBL,YNU,YNVP,YZG]",181.0,56.0,22.0
9865,Redaktion Wadenbeißer Band 1,Ina Rometsch,moses. Verlag GmbH,YFCF,"[5AJ,X,YBL]",141.0,15.0,9.0
26296,"Rätselblock ab 10 Jahre, Band 1",Agnes Spiecker,Hauschka Verlag,WDK,"[5AL,4CD,WDKC,WDKN,WDKX,YB,YBL,YNU,YNVP,YZG]",125.0,44.0,19.0
67315,Mushoku Tensei: Jobless Reincarnation (Light Novel) Vol. 3,Rifujin Na Magonote,"Seven Seas Entertainment, LLC",XADC,[YFB],134.0,13.0,1.0
11084,Titan,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]",12.0,3.0,1.0
36594,Enceladus,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]",51.0,8.0,2.0
25809,Enceladus - Die Rückkehr,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]",23.0,3.0,0.0
19898,Jupiter,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[5AT,1ZMCK,FLU]",13.0,2.0,0.0
66150,Io,Brandon Q. Morris,Belle Epoque Verlag,FLP,"[1ZMCK,FLU]",15.0,2.0,0.0
73604,Das unsichtbare Leben der Addie LaRue,V. E. Schwab,FISCHER TOR,YFHR,"[5JA,1KBB-US-NAK,1KBB-US-NAKC,FJ,FMH,FMX,FR,FV,FYT,YFC,YFH,YFHR]",207.0,12.0,4.0
24770,Das verlorene Buch,"Cassandra Clare, Wesley Chu",Goldmann TB,FMR,"[1FPC-CN-HB,1KBB-US-NAK,FM,FMR,FMX,3MRB]",747.0,93.0,11.0
22579,Die Sprache der Dornen,Leigh Bardugo,Knaur HC,FBA,"[FBA,FMB,FN,FYB,FYT]",154.0,7.0,3.0
9972,Die Pan-Trilogie 03: Die verborgenen Insignien des Pan,Sandra Regnier,Carlsen Verlag GmbH,YFHR,"[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM,YFT]",40.0,8.0,1.0
41474,Tochter der Götter - Glutnacht,Amanda Bouchet,Lübbe,FMB,"[5JA,FMR,FR]",54.0,2.0,3.0
45331,Tochter der Götter - Schattenweg,Amanda Bouchet,Bastei Lübbe,FMB,"[5JA,FMR,FR]",15.0,2.0,4.0
14306,Tochter der Götter - Eismagie,Amanda Bouchet,Bastei Lübbe,FMB,"[5JA,FMR,FR]",18.0,2.0,4.0
71577,Ich und die Walter Boys,Ali Novak,cbt,YFM,"[5AP,1KBB-US-NAKC,1KBB-US-WMC,YFN]",10.0,2.0,0.0
44954,Die Pan-Trilogie 02: Die dunkle Prophezeiung des Pan,Sandra Regnier,Carlsen Verlag GmbH,YFHR,"[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM]",22.0,7.0,1.0
32458,ELFENKRONE,Holly Black,cbt,YFH,"[5AQ,FN,YFJ,3MRBF]",426.0,82.0,11.0
61237,Aufstieg und Fall des außerordentlichen Simon Snow,Rainbow Rowell,dtv Verlagsgesellschaft,YFCF,"[5AP,1DDU-GB-E,YFCF,YFH,YFM,YFS,YXHB,YXHL,3MRBF]",52.0,4.0,0.0
57212,Die Pan-Trilogie 01. Das geheime Vermächtnis des Pan,Sandra Regnier,Carlsen Verlag GmbH,YFHR,"[5AQ,5JA,5LKE,6FG,FMR,FMX,FN,FRT,FRU,YFB,YFHR,YFM,YFT]",92.0,13.0,1.0
78743,Harry Potter Boxed Set: The Complete Collection (Adult Paperback),Joanne K. Rowling,Bloomsbury UK,YFH,[FM],931.0,31.0,11.0
59146,WAS IST WAS Quiz Pferde,Lorena Lehnert,Tessloff Verlag,YNNJ24,"[5AJ,2ACG,WDKX,YBL,YNNH4,YNVP,YZG]",21.0,8.0,0.0
54640,Dune - Der Wüstenplanet,Frank Herbert,Heyne Taschenbuch,FLC,"[FLC,FLS,FYT]",34.0,2.0,0.0
53898,"Fall; or, Dodge in Hell",Neal Stephenson,Harper Collins Publ. USA,FLPB,"[FHK,FJ]",12.0,0.0,0.0
12316,Gregs Filmtagebuch - Endlich berühmt!,Jeff Kinney,Baumhaus Verlag GmbH,YFS,"[5AL,1KBB,YFQ,YFS,YZG,3MRB]",94.0,1.0,3.0
24075,Minecraft - Tipps für Kids,Joachim Klang,Heel Verlag GmbH,YNV,"[5AG,YBL]",39.0,1.0,1.0
54274,Für kleine Zeichner - Tiere,Nico Fauser,"Bassermann, Edition",YBG,"[5AD,YBL]",186.0,2.0,4.0
9338,Looking for Alaska,John Green,Penguin LCC US,YXHL,"[5AQ,YFB,YXG,YXJ]",68.0,1.0,1.0
47344,Spinnenkuss,Jennifer Estep,Piper Verlag GmbH,FMX,"[1KBB,1KBB-US-SCT,FMR,FMX]",91.0,1.0,1.0
2230,Obsidian. Schattendunkel (mit Bonusgeschichten),Jennifer L. Armentrout,Carlsen Verlag GmbH,YFHR,"[5AQ,1KBB,FL,FMR,FMX,YFB,YFG,YFM]",20.0,1.0,0.0
37833,Großvater und die Wölfe,Per Olov Enquist,dtv Verlagsgesellschaft,YFC,"[5AJ,1DNS]",6.0,0.0,1.0
77784,Matti und Sami und die drei größten Fehler des Universums,Salah Naoura,"Beltz GmbH, Julius",YXHB,"[5AK,YFB,YFM,YFQ,YXF,YXHB]",42.0,4.0,1.0
26365,Ready Player One,Ernest Cline,FISCHER TOR,FBA,"[FBA,FDB,FHK,FJ,FLP,FYT,FYW,UBM,UBW,UDX,UGG,UYV,UYW]",104.0,0.0,1.0
75305,One of Us is Lying,Karen M. McManus,Penguin Books Ltd (UK),YFCF,"[5AN,5X,YFCB,YFM,YFS]",754.0,59.0,27.0
21692,Die Optimierer,Theresa Hannig,Lübbe,JBCT1,"[1D,FDB,FLQ,JBCT1,3MR]",13.0,1.0,2.0
47217,Hollowpox,Jessica Townsend,Hachette Children's  Book,YFB,"[5AK,4CD,YFC,YFH]",13.0,0.0,0.0
75928,Die Drachenschwestern,"Fox Virginia, Virginia Fox",Dragonbooks Publishing,FLC,"[FMR,FRD,FRM]",21.0,3.0,1.0
17342,Gilde der Jäger 08. Engelsmacht,Nalini Singh,LYX,FMR,"[1KBB,F,FB,FMX,FP,FR]",90.0,2.0,3.0
66247,Der Geist in der British Library und andere Geschichten aus dem Folly,Ben Aaronovitch,dtv Verlagsgesellschaft,VXWT,"[1DDU-GB-ESL,FF,FFK,FFP,FH,FMK,FMW,FMX,FYB,FYT,VXWT]",2194.0,147.0,17.0
44024,Mein erstes Stickerbuch: In der Natur,Felicity Brooks,Usborne Verlag,YBG,"[5AC,YBL]",244.0,17.0,7.0
40898,Maze-Runner-Schuber (6 Bände im Taschenbuch-Schuber inklusive Bonusband mit »Crank Palace« und »Die ,James Dashner,Carlsen Verlag GmbH,FLQ,"[5AQ,YFC,YFE]",605.0,29.0,1.0
5117,Cemetery Boys,Aiden Thomas,"Little, Brown Book Group",YFHR,"[YNXB,YNXW]",25.0,3.0,0.0
29335,Midnight Breed Novelle. Das Sehnen der Nacht,Lara Adrian,LYX,FBA,"[5JA,1KBB,FB,FBA,FMR,FR,FRD,FRT,3MRB]",18.0,1.0,3.0
48175,Dunkle Lust,"Inka Loreen Minden, Nicole Henser",Books on Demand,FFK,"[5PS,5PSG,FMR,FRM]",8.0,0.0,0.0
53297,Der Clan der Wölfe 01: Donnerherz,Kathryn Lasky,Ravensburger Verlag,YFH,"[5AL,5HKA,5HPD,YFC,YFH,YFJ,YFM,YFP]",129.0,14.0,0.0
28157,Loveless,Alice Oseman,Harper Collins Publ. UK,YXHL,"[YFM,YXW]",124.0,13.0,5.0
19072,Vorstadtprinzessin,Carmen Korn,Rowohlt Taschenbuch,YFCB,"[5AQ,5LF,1DFG-DE-VH,YFB,3MRBA]",41.0,1.0,1.0
59411,Krabat. Großdruck,Otfried Preußler,dtv Verlagsgesellschaft,YFJ,"[5AN,1DF,FN,YFT,3ML]",335.0,46.0,41.0
34235,Ember Queen,Laura Sebastian,Pan Macmillan,YFHR,"[YFC,YFM]",4.0,0.0,1.0
15041,Winnie-the-Pooh,Alan Alexander Milne,Egmont UK Limited,YFA,"[5AF,5AG]",13.0,0.0,0.0
67455,Wings of Fire - Winters Wandlung,Tui T. Sutherland,Adrian Verlag,YFC,"[YFH,YFP]",30.0,5.0,0.0
45246,Exodus 9414 - Der dunkelste Tag,Thariot,FISCHER TOR,FLP,"[5JB,FJ,FLP,FLR,FLS,FLW]",18.0,4.0,0.0
19880,Anton taucht ab,Milena Baisch,"Beltz GmbH, Julius",YF,[5AK],17.0,1.0,5.0
25921,Mein erstes Bremen-Buch,Anne Rieken,Schuenemann C.E.,YBCB,"[1DFG-DE-VB,YBL]",5.0,0.0,0.0
20860,Shadowmarch 1. Die Grenze,Tad Williams,Klett-Cotta Verlag,FMB,"[FYT,YFH]",89.0,1.0,0.0
50027,Twilight,Stephenie Meyer,"Little, Brown Book Group",YFH,"[5AQ,YFB,YFM]",183.0,17.0,2.0
13772,Le Petit Prince (French),Antoine de Saint-Exupery,Houghton Mifflin Harcourt,YF,[5AL],35.0,0.0,0.0
30295,Das Lied der Dunkelheit,Peter V. Brett,Heyne Taschenbuch,FMB,[FYT],105.0,3.0,1.0
45799,Die Chroniken von Alice - Finsternis im Wunderland,Christina Henry,Penhaligon,FBA,"[FBA,FKM,FMT,FN,FYT,FYV]",749.0,73.0,93.0
25451,Die Chroniken der Meerjungfrau - Der Fluch der Wellen,Christina Henry,Penhaligon,FMT,"[FBA,FKM,FMT,FN,FYT,FYV]",177.0,10.0,3.0
50117,What Abigail Did That Summer,Ben Aaronovitch,Orion Publishing Group,FBAN,"[1DDU-GB-ESLC,1DDU-GB-ESLF,FD,FFP,FMM,FMX,FXB,FXR,FXS]",481.0,47.0,11.0
24102,Meine Freundin Conni: Kunterbunter Mitmach-Spaß - Kritzel- und Weitermalbuch,Laura Leintz,Carlsen,YBG,"[5AC,YBLD,YBLH]",59.0,10.0,3.0
9219,"Date Me, Bryson Keller","Kevin van Whye, Kevin Van Whye",Penguin Books Ltd (UK),YXHL,"[5AN,5PSG,YFM,YFS]",32.0,9.0,2.0
36071,Kiss Me Once,Stella Tack,Ravensburger Verlag,YFM,"[5AQ,5AX,FRD,FRM,YFM]",587.0,68.0,33.0
42531,Wovon du träumst,Kira Gembri,Arena Verlag GmbH,YFM,"[5AQ,YFN,YFQ]",100.0,15.0,2.0
68812,Detectives At Work. Rettet die Geparde!,Renate Ahrens,Rowohlt Taschenbuch,YPCK2,"[5AJ,5AL,1HFMS,2ACG,YFB,YFCF]",16.0,2.0,0.0
15405,Gepardensommer,Katja Brandis,Arena Verlag GmbH,YFM,"[5AN,5JA,1HFMN,YFP]",66.0,14.0,2.0
17783,Die Kunst des Zeichnens für Kinder Übungsbuch,Gecko Keck,Frech Verlag GmbH,WFA,"[5A,5AK,5J,5JA,5JB,WF,WFA,Y,YBL]",638.0,96.0,9.0
7674,Throne of Glass,Sarah J. Maas,Bloomsbury UK,YFC,"[5AN,YFH,YFM]",150.0,14.0,0.0
58522,Harry Potter Box Set: The Complete Collection (Children's Paperback),Joanne K. Rowling,Bloomsbury UK,YFH,[YFB],3229.0,129.0,56.0
78056,Der dunkle Turm 3. Tot,Stephen King,Heyne Taschenbuch,FMB,"[FH,FK,FYT]",103.0,7.0,4.0
54876,Unsere Erde,Angela Weinhold,Ravensburger Verlag,YNNV,"[5AD,1ZMCE,YBL,YNHD,YNMC,YNNZ]",90.0,23.0,3.0
35240,Was der Vampir begehrt,Lynsay Sands,LYX,FMR,"[5JA,1KBB,FB,FMR,FRD,FRT,FYT,3MRB]",62.0,2.0,1.0
22764,Das Lied von Eis und Feuer 09. Sohn des Greifen,George R. R. Martin,Penhaligon,FYT,"[FMB,FYT]",131.0,17.0,13.0
27887,Die Schule der magischen Tiere: Mein Tagebuch,Margit Auer,Carlsen Verlag GmbH,YBG,"[5AJ,5LC,4CD,Y,YB,YBL,YZ,YZG,YZS]",134.0,12.0,0.0
67241,Chroniken der Schattenjäger 03. Clockwork Princess,Cassandra Clare,Arena Verlag GmbH,YFH,"[5AN,5AQ]",69.0,12.0,6.0
38131,Chroniken der Schattenjäger 02. Clockwork Prince,Cassandra Clare,Arena Verlag GmbH,YFH,[5AN],78.0,10.0,5.0
76956,Mickey Bolitar ermittelt - Das dunkle Haus,Harlan Coben,cbt,YFCB,"[5AQ,1KBB-US-NAJ,FFC,FH,VFJX,YFB,YFCF,YXE,YXF,YXG,3MRBF]",105.0,3.0,2.0
22484,Verdammt starke Liebe,Lutz van Dijk,Quer Verlag GmbH,FJMS,"[5AQ,YF]",4.0,0.0,3.0
