Surah,Ayah,Text,Label
2,41,"And believe in what I reveal, confirming the revelation which is with you, and be not the first to reject Faith therein, nor sell My Signs for a small price; and fear Me, and Me alone.","['aqidah', 'syariah', 'kisah']"
2,42,"And cover not Truth with falsehood, nor conceal the Truth when ye know (what it is).","['syariah', 'kisah']"
2,43,And be steadfast in prayer; practise regular charity; and bow down your heads with those who bow down (in worship).,['syariah']
2,44,"Do ye enjoin right conduct on the people, and forget (To practise it) yourselves, and yet ye study the Scripture? Will ye not understand?",['ilmu']
2,45,"Nay, seek (Allah's) help with patient perseverance and prayer: It is indeed hard, except to those who bring a lowly spirit,-","['syariah', 'akhlak']"
2,47,"Children of Israel! call to mind the (special) favour which I bestowed upon you, and that I preferred you to all other (for My Message).",['kisah']
2,48,"Then guard yourselves against a day when one soul shall not avail another nor shall intercession be accepted for her, nor shall compensation be taken from her, nor shall anyone be helped (from outside).",['kisah']
2,49,"And remember, We delivered you from the people of Pharaoh: They set you hard tasks and punishments, slaughtered your sons and let your women-folk live; therein was a tremendous trial from your Lord.","['syariah', 'kisah']"
2,50,And remember We divided the sea for you and saved you and drowned Pharaoh's people within your very sight.,"['aqidah', 'kisah', 'alam-dunia']"
2,51,"And remember We appointed forty nights for Moses, and in his absence ye took the calf (for worship), and ye did grievous wrong.","['ilmu', 'kisah']"
2,53,And remember We gave Moses the Scripture and the Criterion (Between right and wrong): There was a chance for you to be guided aright.,['kisah']
2,54,"And remember Moses said to his people: ""O my people! Ye have indeed wronged yourselves by your worship of the calf: So turn (in repentance) to your Maker, and slay yourselves (the wrong-doers); that will be better for you in the sight of your Maker."" Then He turned towards you (in forgiveness): For He is Oft-Returning, Most Merciful.","['aqidah', 'kisah']"
2,55,"And remember ye said: ""O Moses! We shall never believe in thee until we see Allah manifestly,"" but ye were dazed with thunder and lighting even as ye looked on.",['kisah']
2,57,"And We gave you the shade of clouds and sent down to you Manna and quails, saying: ""Eat of the good things We have provided for you:"" (But they rebelled); to us they did no harm, but they harmed their own souls.","['aqidah', 'syariah']"
2,58,"And remember We said: ""Enter this town, and eat of the plenty therein as ye wish; but enter the gate with humility, in posture and in words, and We shall forgive you your faults and increase (the portion of) those who do good.""",['kisah']
2,59,"But the transgressors changed the word from that which had been given them; so We sent on the transgressors a plague from heaven, for that they infringed (Our command) repeatedly.","['aqidah', 'alam-dunia']"
2,60,"And remember Moses prayed for water for his people; We said: ""Strike the rock with thy staff."" Then gushed forth therefrom twelve springs. Each group knew its own place for water. So eat and drink of the sustenance provided by Allah, and do no evil nor mischief on the (face of the) earth.","['aqidah', 'akhlak', 'kisah', 'alam-dunia']"
2,61,"And remember ye said: ""O Moses! we cannot endure one kind of food (always); so beseech thy Lord for us to produce for us of what the earth groweth, -its pot-herbs, and cucumbers, Its garlic, lentils, and onions."" He said: ""Will ye exchange the better for the worse? Go ye down to any town, and ye shall find what ye want!"" They were covered with humiliation and misery; they drew on themselves the wrath of Allah. This because they went on rejecting the Signs of Allah and slaying His Messengers without just cause. This because they rebelled and went on transgressing.","['aqidah', 'syariah', 'kisah', 'alam-dunia']"
2,62,"Those who believe (in the Qur'an), and those who follow the Jewish (scriptures), and the Christians and the Sabians,- any who believe in Allah and the Last Day, and work righteousness, shall have their reward with their Lord; on them shall be no fear, nor shall they grieve.","['aqidah', 'akhlak']"
2,64,"But ye turned back thereafter: Had it not been for the Grace and Mercy of Allah to you, ye had surely been among the lost.",['kisah']
2,65,"And well ye knew those amongst you who transgressed in the matter of the Sabbath: We said to them: ""Be ye apes, despised and rejected.""",['alam-dunia']
2,66,"So We made it an example to their own time and to their posterity, and a lesson to those who fear Allah.",['akhlak']
2,67,"And remember Moses said to his people: ""Allah commands that ye sacrifice a heifer."" They said: ""Makest thou a laughing-stock of us?"" He said: ""Allah save me from being an ignorant (fool)!""","['akhlak', 'ilmu', 'kisah', 'alam-dunia']"
2,68,"They said: ""Beseech on our behalf Thy Lord to make plain to us what (heifer) it is!"" He said; ""He says: The heifer should be neither too old nor too young, but of middling age. Now do what ye are commanded!""","['kisah', 'alam-dunia']"
2,69,"They said: ""Beseech on our behalf Thy Lord to make plain to us Her colour."" He said: ""He says: A fawn-coloured heifer, pure and rich in tone, the admiration of beholders!""","['kisah', 'alam-dunia']"
2,70,"They said: ""Beseech on our behalf Thy Lord to make plain to us what she is: To us are all heifers alike: We wish indeed for guidance, if Allah wills.""","['kisah', 'alam-dunia']"
2,71,"He said: ""He says: A heifer not trained to till the soil or water the fields; sound and without blemish."" They said: ""Now hast thou brought the truth."" Then they offered her in sacrifice, but not with good-will.","['kisah', 'alam-dunia']"
2,73,"So We said: ""Strike the (body) with a piece of the (heifer)."" Thus Allah bringeth the dead to life and showeth you His Signs: Perchance ye may understand.","['aqidah', 'ilmu']"
2,74,Thenceforth were your hearts hardened: They became like a rock and even worse in hardness. For among rocks there are some from which rivers gush forth; others there are which when split asunder send forth water; and others which sink for fear of Allah. And Allah is not unmindful of what ye do.,"['aqidah', 'alam-dunia']"
2,75,"Can ye (o ye men of Faith) entertain the hope that they will believe in you?- Seeing that a party of them heard the Word of Allah, and perverted it knowingly after they understood it.",['aqidah']
2,76,"Behold! when they meet the men of Faith, they say: ""We believe"": But when they meet each other in private, they say: ""Shall you tell them what Allah hath revealed to you, that they may engage you in argument about it before your Lord?""- Do ye not understand (their aim)?","['aqidah', 'ilmu']"
2,79,"Then woe to those who write the Book with their own hands, and then say:""This is from Allah,"" to traffic with it for miserable price!- Woe to them for what their hands do write, and for the gain they make thereby.","['aqidah', 'syariah']"
2,80,"And they say: ""The Fire shall not touch us but for a few numbered days:"" Say: ""Have ye taken a promise from Allah, for He never breaks His promise? or is it that ye say of Allah what ye do not know?""","['aqidah', 'alam-akhirat']"
2,81,"Nay, those who seek gain in evil, and are girt round by their sins,- they are companions of the Fire: Therein shall they abide (For ever).",['alam-akhirat']
2,82,"But those who have faith and work righteousness, they are companions of the Garden: Therein shall they abide (For ever).","['aqidah', 'alam-akhirat']"
2,83,"And remember We took a covenant from the Children of Israel (to this effect): Worship none but Allah; treat with kindness your parents and kindred, and orphans and those in need; speak fair to the people; be steadfast in prayer; and practise regular charity. Then did ye turn back, except a few among you, and ye backslide (even now).","['aqidah', 'syariah', 'kisah']"
2,84,"And remember We took your covenant (to this effect): Shed no blood amongst you, nor turn out your own people from your homes: and this ye solemnly ratified, and to this ye can bear witness.",['kisah']
2,85,"After this it is ye, the same people, who slay among yourselves, and banish a party of you from their homes; assist (Their enemies) against them, in guilt and rancour; and if they come to you as captives, ye ransom them, though it was not lawful for you to banish them. Then is it only a part of the Book that ye believe in, and do ye reject the rest? but what is the reward for those among you who behave like this but disgrace in this life?- and on the Day of Judgment they shall be consigned to the most grievous penalty. For Allah is not unmindful of what ye do.","['aqidah', 'kisah', 'alam-akhirat']"
2,87,"We gave Moses the Book and followed him up with a succession of messengers; We gave Jesus the son of Mary Clear (Signs) and strengthened him with the holy spirit. Is it that whenever there comes to you a messenger with what ye yourselves desire not, ye are puffed up with pride?- Some ye called impostors, and others ye slay!","['aqidah', 'syariah', 'kisah']"
2,89,"And when there comes to them a Book from Allah, confirming what is with them,- although from of old they had prayed for victory against those without Faith,- when there comes to them that which they (should) have recognised, they refuse to believe in it but the curse of Allah is on those without Faith.",['aqidah']
2,90,"Miserable is the price for which they have sold their souls, in that they deny (the revelation) which Allah has sent down, in insolent envy that Allah of His Grace should send it to any of His servants He pleases: Thus have they drawn on themselves Wrath upon Wrath. And humiliating is the punishment of those who reject Faith.","['aqidah', 'syariah']"
2,91,"When it is said to them, ""Believe in what Allah Hath sent down, ""they say, ""We believe in what was sent down to us:"" yet they reject all besides, even if it be Truth confirming what is with them. Say: ""Why then have ye slain the prophets of Allah in times gone by, if ye did indeed believe?""","['aqidah', 'syariah']"
2,92,"There came to you Moses with clear (Signs); yet ye worshipped the calf (Even) after that, and ye did behave wrongfully.",['kisah']
2,93,"And remember We took your covenant and We raised above you (the towering height) of Mount (Sinai): (Saying): ""Hold firmly to what We have given you, and hearken (to the Law)"": They said:"" We hear, and we disobey:"" And they had to drink into their hearts (of the taint) of the calf because of their Faithlessness. Say: ""Vile indeed are the behests of your Faith if ye have any faith!""",['kisah']
2,94,"Say: ""If the last Home, with Allah, be for you specially, and not for anyone else, then seek ye for death, if ye are sincere.""","['akhlak', 'alam-dunia']"
2,97,"Say: Whoever is an enemy to Gabriel-for he brings down the (revelation) to thy heart by Allah's will, a confirmation of what went before, and guidance and glad tidings for those who believe,-",['aqidah']
2,98,"Whoever is an enemy to Allah and His angels and messengers, to Gabriel and Michael,- Lo! Allah is an enemy to those who reject Faith.","['aqidah', 'kisah', 'alam-ghaib']"
2,99,We have sent down to thee Manifest Signs (ayat); and none reject them but those who are perverse.,['aqidah']
2,100,"Is it not (the case) that every time they make a covenant, some party among them throw it aside?- Nay, Most of them are faithless.",['syariah']
2,101,"And when there came to them a messenger from Allah, confirming what was with them, a party of the people of the Book threw away the Book of Allah behind their backs, as if (it had been something) they did not know!",['aqidah']
2,102,"They followed what the evil ones gave out (falsely) against the power of Solomon: the blasphemers Were, not Solomon, but the evil ones, teaching men Magic, and such things as came down at babylon to the angels Harut and Marut. But neither of these taught anyone (Such things) without saying: ""We are only for trial; so do not blaspheme."" They learned from them the means to sow discord between man and wife. But they could not thus harm anyone except by Allah's permission. And they learned what harmed them, not what profited them. And they knew that the buyers of (magic) would have no share in the happiness of the Hereafter. And vile was the price for which they did sell their souls, if they but knew!","['aqidah', 'kisah']"
2,103,"If they had kept their Faith and guarded themselves from evil, far better had been the reward from their Lord, if they but knew!","['aqidah', 'akhlak']"
2,105,"It is never the wish of those without Faith among the People of the Book, nor of the Pagans, that anything good should come down to you from your Lord. But Allah will choose for His special Mercy whom He will - for Allah is Lord of grace abounding.",['aqidah']
2,106,"None of Our revelations do We abrogate or cause to be forgotten, but We substitute something better or similar: Knowest thou not that Allah Hath power over all things?",['aqidah']
2,107,Knowest thou not that to Allah belongeth the dominion of the heavens and the earth? And besides Him ye have neither patron nor helper.,['aqidah']
2,108,"Would ye question your Messenger as Moses was questioned of old? but whoever changeth from Faith to Unbelief, Hath strayed without doubt from the even way.","['akhlak', 'kisah']"
2,109,"Quite a number of the People of the Book wish they could Turn you (people) back to infidelity after ye have believed, from selfish envy, after the Truth hath become Manifest unto them: But forgive and overlook, Till Allah accomplish His purpose; for Allah Hath power over all things.",['aqidah']
2,110,"And be steadfast in prayer and regular in charity: And whatever good ye send forth for your souls before you, ye shall find it with Allah: for Allah sees Well all that ye do.","['aqidah', 'syariah']"
2,111,"And they say: ""None shall enter Paradise unless he be a Jew or a Christian."" Those are their (vain) desires. Say: ""Produce your proof if ye are truthful.""",['aqidah']
2,112,"Nay,-whoever submits His whole self to Allah and is a doer of good,- He will get his reward with his Lord; on such shall be no fear, nor shall they grieve.",['akhlak']
2,113,"The Jews say: ""The Christians have naught (to stand) upon; and the Christians say: ""The Jews have naught (To stand) upon."" Yet they (Profess to) study the (same) Book. Like unto their word is what those say who know not; but Allah will judge between them in their quarrel on the Day of Judgment.","['aqidah', 'alam-akhirat']"
2,114,"And who is more unjust than he who forbids that in places for the worship of Allah, Allah's name should be celebrated?-whose zeal is (in fact) to ruin them? It was not fitting that such should themselves enter them except in fear. For them there is nothing but disgrace in this world, and in the world to come, an exceeding torment.",['alam-akhirat']
2,115,"To Allah belong the east and the West: Whithersoever ye turn, there is the presence of Allah. For Allah is all-Pervading, all-Knowing.",['syariah']
2,116,"They say: ""Allah hath begotten a son"": Glory be to Him.-Nay, to Him belongs all that is in the heavens and on earth: everything renders worship to Him.",['aqidah']
2,117,"To Him is due the primal origin of the heavens and the earth: When He decreeth a matter, He saith to it: ""Be,"" and it is.",['aqidah']
2,119,Verily We have sent thee in truth as a bearer of glad tidings and a warner: But of thee no question shall be asked of the Companions of the Blazing Fire.,['aqidah']
2,120,"Never will the Jews or the Christians be satisfied with thee unless thou follow their form of religion. Say: ""The Guidance of Allah,-that is the (only) Guidance."" Wert thou to follow their desires after the knowledge which hath reached thee, then wouldst thou find neither Protector nor helper against Allah.",['aqidah']
2,121,"Those to whom We have sent the Book study it as it should be studied: They are the ones that believe therein: Those who reject faith therein,- the loss is their own.",['aqidah']
2,122,"O Children of Israel! call to mind the special favour which I bestowed upon you, and that I preferred you to all others (for My Message).",['kisah']
2,124,"And remember that Abraham was tried by his Lord with certain commands, which he fulfilled: He said: ""I will make thee an Imam to the Nations."" He pleaded: ""And also (Imams) from my offspring!"" He answered: ""But My Promise is not within the reach of evil-doers.""","['aqidah', 'akhlak', 'kisah']"
2,125,"Remember We made the House a place of assembly for men and a place of safety; and take ye the station of Abraham as a place of prayer; and We covenanted with Abraham and Isma'il, that they should sanctify My House for those who compass it round, or use it as a retreat, or bow, or prostrate themselves (therein in prayer).","['aqidah', 'syariah', 'kisah']"
2,126,"And remember Abraham said: ""My Lord, make this a City of Peace, and feed its people with fruits,-such of them as believe in Allah and the Last Day."" He said: ""(Yea), and such as reject Faith,-for a while will I grant them their pleasure, but will soon drive them to the torment of Fire,- an evil destination (indeed)!""","['aqidah', 'syariah', 'kisah', 'alam-akhirat']"
2,127,"And remember Abraham and Isma'il raised the foundations of the House (With this prayer): ""Our Lord! Accept (this service) from us: For Thou art the All-Hearing, the All-knowing.","['aqidah', 'syariah', 'kisah']"
2,128,"""Our Lord! make of us Muslims, bowing to Thy (Will), and of our progeny a people Muslim, bowing to Thy (will); and show us our place for the celebration of (due) rites; and turn unto us (in Mercy); for Thou art the Oft-Returning, Most Merciful.","['aqidah', 'syariah', 'kisah']"
2,129,"""Our Lord! send amongst them a Messenger of their own, who shall rehearse Thy Signs to them and instruct them in scripture and wisdom, and sanctify them: For Thou art the Exalted in Might, the Wise.""","['aqidah', 'syariah', 'kisah']"
2,130,And who turns away from the religion of Abraham but such as debase their souls with folly? Him We chose and rendered pure in this world: And he will be in the Hereafter in the ranks of the Righteous.,"['kisah', 'alam-akhirat']"
2,131,"Behold! his Lord said to him: ""Bow (thy will to Me):"" He said: ""I bow (my will) to the Lord and Cherisher of the Universe.""","['aqidah', 'kisah']"
2,132,"And this was the legacy that Abraham left to his sons, and so did Jacob; ""Oh my sons! Allah hath chosen the Faith for you; then die not except in the Faith of Islam.""",['kisah']
2,133,"Were ye witnesses when death appeared before Jacob? Behold, he said to his sons: ""What will ye worship after me?"" They said: ""We shall worship Thy god and the god of thy fathers, of Abraham, Isma'il and Isaac,- the one (True) Allah: To Him we bow (in Islam).""","['aqidah', 'akhlak', 'kisah']"
2,135,"They say: ""Become Jews or Christians if ye would be guided (To salvation)."" Say thou: ""Nay! (I would rather) the Religion of Abraham the True, and he joined not gods with Allah.""","['aqidah', 'kisah']"
2,136,"Say ye: ""We believe in Allah, and the revelation given to us, and to Abraham, Isma'il, Isaac, Jacob, and the Tribes, and that given to Moses and Jesus, and that given to (all) prophets from their Lord: We make no difference between one and another of them: And we bow to Allah (in Islam).""","['aqidah', 'kisah']"
2,137,"So if they believe as ye believe, they are indeed on the right path; but if they turn back, it is they who are in schism; but Allah will suffice thee as against them, and He is the All-Hearing, the All-Knowing.",['aqidah']
2,140,"Or do ye say that Abraham, Isma'il Isaac, Jacob and the Tribes were Jews or Christians? Say: Do ye know better than Allah? Ah! who is more unjust than those who conceal the testimony they have from Allah? but Allah is not unmindful of what ye do!","['aqidah', 'kisah']"
2,142,"The fools among the people will say: ""What hath turned them from the Qibla to which they were used?"" Say: To Allah belong both east and West: He guideth whom He will to a Way that is straight.","['aqidah', 'akhlak', 'ilmu', 'kisah', 'alam-dunia']"
2,143,"Thus, have We made of you an Ummat justly balanced, that ye might be witnesses over the nations, and the Messenger a witness over yourselves; and We appointed the Qibla to which thou wast used, only to test those who followed the Messenger from those who would turn on their heels (From the Faith). Indeed it was (A change) momentous, except to those guided by Allah. And never would Allah Make your faith of no effect. For Allah is to all people Most surely full of kindness, Most Merciful.","['aqidah', 'syariah', 'kisah']"
2,144,"We see the turning of thy face (for guidance to the heavens: now Shall We turn thee to a Qibla that shall please thee. Turn then Thy face in the direction of the sacred Mosque: Wherever ye are, turn your faces in that direction. The people of the Book know well that that is the truth from their Lord. Nor is Allah unmindful of what they do.","['aqidah', 'syariah', 'kisah', 'alam-dunia']"
2,145,"Even if thou wert to bring to the people of the Book all the Signs (together), they would not follow Thy Qibla; nor art thou going to follow their Qibla; nor indeed will they follow each other's Qibla. If thou after the knowledge hath reached thee, Wert to follow their (vain) desires,-then wert thou Indeed (clearly) in the wrong.","['aqidah', 'kisah']"
2,146,The people of the Book know this as they know their own sons; but some of them conceal the truth which they themselves know.,['aqidah']
2,148,"To each is a goal to which Allah turns him; then strive together (as in a race) Towards all that is good. Wheresoever ye are, Allah will bring you Together. For Allah Hath power over all things.",['aqidah']
2,149,"From whencesoever Thou startest forth, turn Thy face in the direction of the sacred Mosque; that is indeed the truth from the Lord. And Allah is not unmindful of what ye do.","['aqidah', 'syariah', 'kisah']"
2,150,"So from whencesoever Thou startest forth, turn Thy face in the direction of the sacred Mosque; and wheresoever ye are, Turn your face thither: that there be no ground of dispute against you among the people, except those of them that are bent on wickedness; so fear them not, but fear Me; and that I may complete My favours on you, and ye May (consent to) be guided;","['syariah', 'kisah', 'alam-dunia']"
2,151,"A similar (favour have ye already received) in that We have sent among you a Messenger of your own, rehearsing to you Our Signs, and sanctifying you, and instructing you in Scripture and Wisdom, and in new knowledge.",['aqidah']
2,153,O ye who believe! seek help with patient perseverance and prayer; for Allah is with those who patiently persevere.,"['syariah', 'akhlak']"
2,154,"And say not of those who are slain in the way of Allah: ""They are dead."" Nay, they are living, though ye perceive (it) not.",['syariah']
2,155,"Be sure we shall test you with something of fear and hunger, some loss in goods or lives or the fruits (of your toil), but give glad tidings to those who patiently persevere,",['akhlak']
2,156,"Who say, when afflicted with calamity: ""To Allah We belong, and to Him is our return"":-",['akhlak']
2,157,"They are those on whom (Descend) blessings from Allah, and Mercy, and they are the ones that receive guidance.","['syariah', 'akhlak']"
2,158,"Behold! Safa and Marwa are among the Symbols of Allah. So if those who visit the House in the Season or at other times, should compass them round, it is no sin in them. And if any one obeyeth his own impulse to good,- be sure that Allah is He Who recogniseth and knoweth.","['aqidah', 'syariah']"
2,159,"Those who conceal the clear (Signs) We have sent down, and the Guidance, after We have made it clear for the people in the Book,-on them shall be Allah's curse, and the curse of those entitled to curse,-",['aqidah']
2,160,"Except those who repent and make amends and openly declare (the Truth): To them I turn; for I am Oft-returning, Most Merciful.",['aqidah']
2,161,"Those who reject Faith, and die rejecting,- on them is Allah's curse, and the curse of angels, and of all mankind;","['aqidah', 'kisah', 'alam-ghaib']"
2,162,"They will abide therein: Their penalty will not be lightened, nor will respite be their (lot).",['alam-akhirat']
2,163,"And your Allah is One Allah: There is no god but He, Most Gracious, Most Merciful.",['aqidah']
2,164,"Behold! in the creation of the heavens and the earth; in the alternation of the night and the day; in the sailing of the ships through the ocean for the profit of mankind; in the rain which Allah Sends down from the skies, and the life which He gives therewith to an earth that is dead; in the beasts of all kinds that He scatters through the earth; in the change of the winds, and the clouds which they Trail like their slaves between the sky and the earth;- (Here) indeed are Signs for a people that are wise.","['aqidah', 'ilmu', 'alam-dunia']"
2,165,"Yet there are men who take (for worship) others besides Allah, as equal (with Allah): They love them as they should love Allah. But those of Faith are overflowing in their love for Allah. If only the unrighteous could see, behold, they would see the penalty: that to Allah belongs all power, and Allah will strongly enforce the penalty.",['alam-dunia']
2,167,"And those who followed would say: ""If only We had one more chance, We would clear ourselves of them, as they have cleared themselves of us."" Thus will Allah show them (The fruits of) their deeds as (nothing but) regrets. Nor will there be a way for them out of the Fire.",['alam-akhirat']
2,168,"O ye people! Eat of what is on earth, Lawful and good; and do not follow the footsteps of the evil one, for he is to you an avowed enemy.","['syariah', 'kisah', 'alam-dunia', 'alam-ghaib']"
2,170,"When it is said to them: ""Follow what Allah hath revealed:"" They say: ""Nay! we shall follow the ways of our fathers."" What! even though their fathers Were void of wisdom and guidance?","['aqidah', 'syariah', 'alam-dunia']"
2,171,"The parable of those who reject Faith is as if one were to shout Like a goat-herd, to things that listen to nothing but calls and cries: Deaf, dumb, and blind, they are void of wisdom.","['ilmu', 'alam-dunia']"
2,172,"O ye who believe! Eat of the good things that We have provided for you, and be grateful to Allah, if it is Him ye worship.",['aqidah']
2,173,"He hath only forbidden you dead meat, and blood, and the flesh of swine, and that on which any other name hath been invoked besides that of Allah. But if one is forced by necessity, without wilful disobedience, nor transgressing due limits,- then is he guiltless. For Allah is Oft-forgiving Most Merciful.","['aqidah', 'akhlak', 'alam-dunia']"
2,174,"Those who conceal Allah's revelations in the Book, and purchase for them a miserable profit,- they swallow into themselves naught but Fire; Allah will not address them on the Day of Resurrection. Nor purify them: Grievous will be their penalty.","['aqidah', 'syariah', 'alam-dunia', 'alam-akhirat']"
2,175,They are the ones who buy Error in place of Guidance and Torment in place of Forgiveness. Ah! what boldness (They show) for the Fire!,['syariah']
2,176,(Their doom is) because Allah sent down the Book in truth but those who seek causes of dispute in the Book are in a schism Far (from the purpose).,['aqidah']
