,source,target
140,around,allah
141,allah,took
142,took,away
143,away,light
144,light,left
145,left,utter
146,utter,darkness
147,darkness,could
148,could,see
149,deaf,dumb
150,dumb,blind
151,blind,return
152,return,path
153,another,similitude
154,similitude,ofrain
155,ofrain,laden
156,laden,cloud
157,cloud,sky
158,sky,zones
159,zones,darkness
160,darkness,thunder
161,thunder,lightning
162,lightning,press
163,press,fingers
164,fingers,ears
165,ears,keep
166,keep,stunning
167,stunning,thunder
168,thunder,clap
169,clap,terror
170,terror,death
171,death,allah
172,allah,ever
173,ever,round
174,round,rejecters
175,rejecters,faith
176,lightning,snatches
177,snatches,away
178,away,sight
179,sight,every
180,every,time
181,time,light
182,light,helps
183,helps,walk
184,walk,therein
185,therein,darkness
186,darkness,grows
187,grows,stand
188,stand,still
189,still,allah
190,allah,willed
191,willed,could
192,could,take
193,take,away
194,away,faculty
195,faculty,hearing
196,hearing,seeing
197,seeing,allah
198,allah,hath
199,hath,power
200,power,things
201,ye,people
202,people,adore
203,adore,guardian
204,guardian,lord
205,lord,created
206,created,came
207,came,ye
208,ye,may
209,may,chance
210,chance,learn
211,learn,righteousness
212,made,earth
213,earth,couch
214,couch,heavens
215,heavens,canopy
216,canopy,sent
217,sent,rain
218,rain,heavens
219,heavens,brought
220,brought,forth
221,forth,therewith
222,therewith,fruits
223,fruits,sustenance
224,sustenance,set
225,set,rivals
226,rivals,unto
227,unto,allah
228,allah,ye
229,ye,know
230,know,truth
231,ye,doubt
232,doubt,revealed
233,revealed,time
234,time,time
235,time,servant
236,servant,producesura
237,producesura,like
238,like,thereunto
239,thereunto,call
240,call,witnesses
241,witnesses,helpers
242,helpers,besides
243,besides,allah
244,allah,doubts
245,doubts,true
246,ye,cannot
247,cannot,ofsurety
248,ofsurety,ye
249,ye,cannot
250,cannot,fear
251,fear,fire
252,fire,whose
253,whose,fuel
254,fuel,men
255,men,stones
256,stones,prepared
257,prepared,reject
258,reject,faith
259,give,glad
260,glad,tidings
261,tidings,believe
262,believe,work
263,work,righteousness
264,righteousness,portion
265,portion,gardens
266,gardens,beneath
267,beneath,rivers
268,rivers,flow
269,flow,every
270,every,time
271,time,fed
272,fed,fruits
273,fruits,therefrom
274,therefrom,say
275,say,fed
276,fed,given
277,given,things
278,things,similitude
279,similitude,therein
280,therein,companions
281,companions,pure
282,pure,holy
283,holy,abide
284,abide,therein
285,therein,ever
286,allah,disdains
287,disdains,use
288,use,similitude
289,similitude,things
290,things,lowest
291,lowest,well
292,well,highest
293,highest,believe
294,believe,know
295,know,truth
296,truth,lord
297,lord,reject
298,reject,faith
299,faith,say
300,say,means
301,means,allah
302,allah,similitude
303,similitude,causes
304,causes,many
305,many,stray
306,stray,many
307,many,leads
308,leads,right
309,right,path
310,path,causes
311,causes,stray
312,stray,except
313,except,forsake
314,forsake,path
315,break,allah
316,allah,covenant
317,covenant,ratified
318,ratified,sunder
319,sunder,allah
320,allah,ordered
321,ordered,joined
322,joined,mischief
323,mischief,earth
324,earth,cause
325,cause,loss
326,ye,reject
327,reject,faith
328,faith,allah
329,allah,seeing
330,seeing,ye
331,ye,without
332,without,life
333,life,gave
334,gave,life
335,life,cause
336,cause,die
337,die,bring
338,bring,life
339,life,ye
340,ye,return
341,hath,created
342,created,things
343,things,earth
344,earth,moreover
345,moreover,design
346,design,comprehended
347,comprehended,heavens
348,heavens,gave
349,gave,order
350,order,perfection
351,perfection,seven
352,seven,firmaments
353,firmaments,things
354,things,hath
355,hath,perfect
356,perfect,knowledge
357,behold,thy
358,thy,lord
359,lord,said
360,said,angels
361,angels,createvicegerent
362,createvicegerent,earth
363,earth,said
364,said,wilt
365,wilt,thou
366,thou,place
367,place,therein
368,therein,one
369,one,make
370,make,mischief
371,mischief,therein
372,therein,shed
373,shed,blood
374,blood,whilst
375,whilst,celebrate
376,celebrate,thy
377,thy,praises
378,praises,glorify
379,glorify,thy
380,thy,holy
381,holy,name
382,name,said
383,said,know
384,know,ye
385,ye,know
386,taught,adam
387,adam,names
388,names,things
389,things,placed
390,placed,angels
391,angels,said
392,said,tell
393,tell,names
394,names,ye
395,ye,right
396,said,glory
397,glory,thee
398,thee,knowledge
399,knowledge,none
400,none,save
401,save,thou
402,thou,hast
403,hast,taught
404,taught,us
405,us,truth
406,truth,thou
407,thou,art
408,art,perfect
409,perfect,knowledge
410,knowledge,wisdom
411,said,adam
412,adam,tell
413,tell,names
414,names,told
415,told,allah
416,allah,said
417,said,didnot
418,didnot,tell
419,tell,thatknow
420,thatknow,secrets
421,secrets,heaven
422,heaven,earth
423,earth,andknow
424,andknow,ye
425,ye,reveal
426,reveal,ye
427,ye,conceal
428,behold,said
429,said,angels
430,angels,bow
431,bow,adam
432,adam,bowed
433,bowed,iblis
434,iblis,refused
435,refused,haughty
436,haughty,reject
437,reject,faith
438,said,adam
439,adam,dwell
440,dwell,thou
441,thou,thy
442,thy,wife
443,wife,garden
444,garden,eat
445,eat,bountiful
446,bountiful,things
447,things,therein
448,therein,ye
449,ye,approach
450,approach,tree
451,tree,ye
452,ye,run
453,run,harm
454,harm,transgression
455,satan,make
456,make,slip
457,slip,garden
458,garden,get
459,get,state
460,state,felicity
461,felicity,said
462,said,get
463,get,ye
464,ye,ye
465,ye,people
466,people,enmity
467,enmity,earth
468,earth,dwelling
469,dwelling,place
470,place,means
471,means,livelihood
472,livelihood,fortime
473,learnt,adam
474,adam,lord
475,lord,words
476,words,inspiration
477,inspiration,lord
478,lord,turned
479,turned,towards
480,towards,oft
481,oft,returning
482,returning,merciful
483,said,get
484,get,ye
485,ye,sure
486,sure,comes
487,comes,guidance
488,guidance,whosoever
489,whosoever,follows
490,follows,guidance
491,guidance,shall
492,shall,fear
493,fear,shall
494,shall,grieve
495,reject,faith
496,faith,belie
497,belie,signs
498,signs,shall
499,shall,companions
500,companions,fire
501,fire,shall
502,shall,abide
503,abide,therein
504,children,israel
505,israel,call
506,call,mind
507,mind,special
508,special,favour
509,favour,whichbestowed
510,whichbestowed,upon
511,upon,fulfil
512,fulfil,covenant
513,covenant,asfulfil
514,asfulfil,covenant
515,covenant,fear
516,fear,none
517,believe,whatreveal
518,whatreveal,confirming
519,confirming,revelation
520,revelation,first
521,first,reject
522,reject,faith
523,faith,therein
524,therein,sell
525,sell,signs
526,signs,forsmall
527,forsmall,price
528,price,fear
529,fear,alone
530,cover,truth
531,truth,falsehood
532,falsehood,conceal
533,conceal,truth
534,truth,ye
535,ye,know
536,steadfast,prayer
537,prayer,practise
538,practise,regular
539,regular,charity
540,charity,bow
541,bow,heads
542,heads,bow
543,bow,worship
544,ye,enjoin
545,enjoin,right
546,right,conduct
547,conduct,people
548,people,forget
549,forget,practise
550,practise,yet
551,yet,ye
552,ye,study
553,study,scripture
554,scripture,ye
555,ye,understand
556,nay,seek
557,seek,allah
558,allah,help
559,help,patient
560,patient,perseverance
561,perseverance,prayer
562,prayer,indeed
563,indeed,hard
564,hard,except
565,except,bringlowly
566,bringlowly,spirit
567,bear,mind
568,mind,certainty
569,certainty,meet
570,meet,lord
571,lord,return
572,children,israel
573,israel,call
574,call,mind
575,mind,special
576,special,favour
577,favour,whichbestowed
578,whichbestowed,upon
579,upon,thatpreferred
580,thatpreferred,message
581,guard,againstday
582,againstday,one
583,one,soul
584,soul,shall
585,shall,avail
586,avail,another
587,another,shall
588,shall,intercession
589,intercession,accepted
590,accepted,shall
591,shall,compensation
592,compensation,taken
593,taken,shall
594,shall,anyone
595,anyone,helped
596,helped,outside
597,remember,delivered
598,delivered,people
599,people,pharaoh
600,pharaoh,set
601,set,hard
602,hard,tasks
603,tasks,punishments
604,punishments,slaughtered
605,slaughtered,sons
606,sons,let
607,let,women
608,women,folk
609,folk,live
610,live,therein
611,therein,wastremendous
612,wastremendous,trial
613,trial,lord
614,remember,divided
615,divided,sea
616,sea,saved
617,saved,drowned
618,drowned,pharaoh
619,pharaoh,people
620,people,within
621,within,sight
622,remember,appointed
623,appointed,forty
624,forty,nights
625,nights,moses
626,moses,absence
627,absence,ye
628,ye,took
629,took,calf
630,calf,worship
631,worship,ye
632,ye,grievous
633,grievous,wrong
634,even,forgive
635,forgive,waschance
636,waschance,grateful
637,remember,gave
638,gave,moses
639,moses,scripture
640,scripture,criterion
641,criterion,right
642,right,wrong
643,wrong,waschance
644,waschance,guided
645,guided,aright
646,remember,moses
647,moses,said
648,said,people
649,people,people
650,people,ye
651,ye,indeed
652,indeed,wronged
653,wronged,worship
654,worship,calf
655,calf,turn
656,turn,repentance
657,repentance,maker
658,maker,slay
659,slay,wrong
660,wrong,doers
661,doers,better
662,better,sight
663,sight,maker
664,maker,turned
665,turned,towards
666,towards,forgiveness
667,forgiveness,oft
668,oft,returning
669,returning,merciful
670,remember,ye
671,ye,said
672,said,moses
673,moses,shall
674,shall,never
675,never,believe
676,believe,thee
677,thee,see
678,see,allah
679,allah,manifestly
680,manifestly,ye
681,ye,dazed
682,dazed,thunder
683,thunder,lighting
684,lighting,even
685,even,ye
686,ye,looked
687,raised,death
688,death,ye
689,ye,chance
690,chance,grateful
691,gave,shade
692,shade,clouds
693,clouds,sent
694,sent,manna
695,manna,quails
696,quails,saying
697,saying,eat
698,eat,good
699,good,things
700,things,provided
701,provided,rebelled
702,rebelled,us
703,us,harm
704,harm,harmed
705,harmed,souls
706,remember,said
707,said,enter
708,enter,town
709,town,eat
710,eat,plenty
711,plenty,therein
712,therein,ye
713,ye,wish
714,wish,enter
715,enter,gate
716,gate,humility
717,humility,posture
718,posture,words
719,words,shall
720,shall,forgive
721,forgive,faults
722,faults,increase
723,increase,portion
724,portion,good
725,transgressors,changed
726,changed,word
727,word,given
728,given,sent
729,sent,transgressorsplague
730,transgressorsplague,heaven
731,heaven,infringed
732,infringed,command
733,command,repeatedly
734,remember,moses
735,moses,prayed
736,prayed,water
737,water,people
738,people,said
739,said,strike
740,strike,rock
741,rock,thy
742,thy,staff
743,staff,gushed
744,gushed,forth
745,forth,therefrom
746,therefrom,twelve
747,twelve,springs
748,springs,group
749,group,knew
750,knew,place
751,place,water
752,water,eat
753,eat,drink
754,drink,sustenance
755,sustenance,provided
756,provided,allah
757,allah,evil
758,evil,mischief
759,mischief,face
760,face,earth
761,remember,ye
762,ye,said
763,said,moses
764,moses,cannot
765,cannot,endure
766,endure,one
767,one,kind
768,kind,food
769,food,always
770,always,beseech
771,beseech,thy
772,thy,lord
773,lord,us
774,us,produce
775,produce,us
776,us,earth
777,earth,groweth
778,groweth,pot
779,pot,herbs
780,herbs,cucumbers
781,cucumbers,garlic
782,garlic,lentils
783,lentils,onions
784,onions,said
785,said,ye
786,ye,exchange
787,exchange,better
788,better,worse
789,worse,go
790,go,ye
791,ye,town
792,town,ye
793,ye,shall
794,shall,find
795,find,ye
796,ye,want
797,want,covered
798,covered,humiliation
799,humiliation,misery
800,misery,drew
801,drew,wrath
802,wrath,allah
803,allah,went
804,went,rejecting
805,rejecting,signs
806,signs,allah
807,allah,slaying
808,slaying,messengers
809,messengers,without
810,without,cause
811,cause,rebelled
812,rebelled,went
813,went,transgressing
814,believe,qur
815,qur,follow
816,follow,jewish
817,jewish,scriptures
818,scriptures,christians
819,christians,sabians
820,sabians,believe
821,believe,allah
822,allah,last
823,last,day
824,day,work
825,work,righteousness
826,righteousness,shall
827,shall,reward
828,reward,lord
829,lord,shall
830,shall,fear
831,fear,shall
832,shall,grieve
833,remember,took
834,took,covenant
835,covenant,raised
836,raised,towering
837,towering,height
838,height,mount
839,mount,sinai
840,sinai,saying
841,saying,hold
842,hold,firmly
843,firmly,given
844,given,bring
845,bring,ever
846,ever,remembrance
847,remembrance,therein
848,therein,perchance
849,perchance,ye
850,ye,may
851,may,fear
852,fear,allah
853,ye,turned
854,turned,back
855,back,thereafter
856,thereafter,grace
857,grace,mercy
858,mercy,allah
859,allah,ye
860,ye,surely
861,surely,among
862,among,lost
863,well,ye
864,ye,knew
865,knew,amongst
866,amongst,transgressed
867,transgressed,matter
868,matter,sabbath
869,sabbath,said
870,said,ye
871,ye,apes
872,apes,despised
873,despised,rejected
874,made,example
875,example,time
876,time,posterity
877,posterity,andlesson
878,andlesson,fear
879,fear,allah
880,remember,moses
881,moses,said
882,said,people
883,people,allah
884,allah,commands
885,commands,ye
886,ye,sacrificeheifer
887,sacrificeheifer,said
888,said,makest
889,makest,thoulaughing
890,thoulaughing,stock
891,stock,us
892,us,said
893,said,allah
894,allah,save
895,save,ignorant
896,ignorant,fool
897,said,beseech
898,beseech,behalf
899,behalf,thy
900,thy,lord
901,lord,make
902,make,plain
903,plain,us
904,us,heifer
905,heifer,said
906,said,says
907,says,heifer
908,heifer,neither
909,neither,old
910,old,young
911,young,middling
912,middling,age
913,age,ye
914,ye,commanded
915,said,beseech
916,beseech,behalf
917,behalf,thy
918,thy,lord
919,lord,make
920,make,plain
921,plain,us
922,us,colour
923,colour,said
924,said,says
925,says,fawn
926,fawn,coloured
927,coloured,heifer
928,heifer,pure
929,pure,rich
930,rich,tone
931,tone,admiration
932,admiration,beholders
933,said,beseech
934,beseech,behalf
935,behalf,thy
936,thy,lord
937,lord,make
938,make,plain
939,plain,us
940,us,us
941,us,heifers
942,heifers,alike
943,alike,wish
944,wish,indeed
945,indeed,guidance
946,guidance,allah
947,allah,wills
948,said,says
949,says,heifer
950,heifer,trained
951,trained,till
952,till,soil
953,soil,water
954,water,fields
955,fields,sound
956,sound,without
957,without,blemish
958,blemish,said
959,said,hast
960,hast,thou
961,thou,brought
962,brought,truth
963,truth,offered
964,offered,sacrifice
965,sacrifice,good
966,remember,ye
967,ye,slewman
968,slewman,fell
969,fell,intodispute
970,intodispute,among
971,among,crime
972,crime,allah
973,allah,bring
974,bring,forth
975,forth,ye
976,ye,hide
977,said,strike
978,strike,body
979,body,withpiece
980,withpiece,heifer
981,heifer,thus
982,thus,allah
983,allah,bringeth
984,bringeth,dead
985,dead,life
986,life,showeth
987,showeth,signs
988,signs,perchance
989,perchance,ye
990,ye,may
991,may,understand
992,thenceforth,hearts
993,hearts,hardened
994,hardened,became
995,became,likerock
996,likerock,even
997,even,worse
998,worse,hardness
999,hardness,among
1000,among,rocks
1001,rocks,rivers
1002,rivers,gush
1003,gush,forth
1004,forth,others
1005,others,split
1006,split,asunder
1007,asunder,send
1008,send,forth
1009,forth,water
1010,water,others
1011,others,sink
1012,sink,fear
1013,fear,allah
1014,allah,allah
1015,allah,unmindful
1016,unmindful,ye
1017,yeye,men
1018,men,faith
1019,faith,entertain
1020,entertain,hope
1021,hope,believe
1022,believe,seeing
1023,seeing,thatparty
1024,thatparty,heard
1025,heard,word
1026,word,allah
1027,allah,perverted
1028,perverted,knowingly
1029,knowingly,understood
1030,behold,meet
1031,meet,men
1032,men,faith
1033,faith,say
1034,say,believe
1035,believe,meet
1036,meet,private
1037,private,say
1038,say,shall
1039,shall,tell
1040,tell,allah
1041,allah,hath
1042,hath,revealed
1043,revealed,may
1044,may,engage
1045,engage,argument
1046,argument,lord
1047,lord,ye
1048,ye,understand
1049,understand,aim
1050,know,allah
1051,allah,knoweth
1052,knoweth,conceal
1053,conceal,reveal
1054,among,illiterates
1055,illiterates,know
1056,know,book
1057,book,see
1058,see,therein
1059,therein,desires
1060,desires,nothing
1061,nothing,conjecture
1062,woe,write
1063,write,book
1064,book,hands
1065,hands,say
1066,say,allah
1067,allah,traffic
1068,traffic,miserable
1069,miserable,price
1070,price,woe
1071,woe,hands
1072,hands,write
1073,write,gain
1074,gain,make
1075,make,thereby
1076,say,fire
1077,fire,shall
1078,shall,touch
1079,touch,us
1080,us,forfew
1081,forfew,numbered
1082,numbered,days
1083,days,say
1084,say,ye
1085,ye,takenpromise
1086,takenpromise,allah
1087,allah,never
1088,never,breaks
1089,breaks,promise
1090,promise,ye
1091,ye,say
1092,say,allah
1093,allah,ye
1094,ye,know
1095,nay,seek
1096,seek,gain
1097,gain,evil
1098,evil,girt
1099,girt,round
1100,round,sins
1101,sins,companions
1102,companions,fire
1103,fire,therein
1104,therein,shall
1105,shall,abide
1106,abide,ever
1107,faith,work
1108,work,righteousness
1109,righteousness,companions
1110,companions,garden
1111,garden,therein
1112,therein,shall
1113,shall,abide
1114,abide,ever
1115,remember,tookcovenant
1116,tookcovenant,children
1117,children,israel
1118,israel,effect
1119,effect,worship
1120,worship,none
1121,none,allah
1122,allah,treat
1123,treat,kindness
1124,kindness,parents
1125,parents,kindred
1126,kindred,orphans
1127,orphans,need
1128,need,speak
1129,speak,fair
1130,fair,people
1131,people,steadfast
1132,steadfast,prayer
1133,prayer,practise
1134,practise,regular
1135,regular,charity
1136,charity,ye
1137,ye,turn
1138,turn,back
1139,back,exceptfew
1140,exceptfew,among
1141,among,ye
1142,ye,backslide
1143,backslide,even
1144,remember,took
1145,took,covenant
1146,covenant,effect
1147,effect,shed
1148,shed,blood
1149,blood,amongst
1150,amongst,turn
1151,turn,people
1152,people,homes
1153,homes,ye
1154,ye,solemnly
1155,solemnly,ratified
1156,ratified,ye
1157,ye,bear
1158,bear,witness
1159,ye,people
1160,people,slay
1161,slay,among
1162,among,banishparty
1163,banishparty,homes
1164,homes,assist
1165,assist,enemies
1166,enemies,guilt
1167,guilt,rancour
1168,rancour,come
1169,come,captives
1170,captives,ye
1171,ye,ransom
1172,ransom,though
1173,though,lawful
1174,lawful,banish
1175,banish,onlypart
1176,onlypart,book
1177,book,ye
1178,ye,believe
1179,believe,ye
1180,ye,reject
1181,reject,rest
1182,rest,reward
1183,reward,among
1184,among,behave
1185,behave,like
1186,like,disgrace
1187,disgrace,life
1188,life,day
1189,day,judgment
1190,judgment,shall
1191,shall,consigned
1192,consigned,grievous
1193,grievous,penalty
1194,penalty,allah
1195,allah,unmindful
1196,unmindful,ye
1197,people,buy
1198,buy,life
1199,life,world
1200,world,price
1201,price,hereafter
1202,hereafter,penalty
1203,penalty,shall
1204,shall,lightened
1205,lightened,shall
1206,shall,helped
1207,gave,moses
1208,moses,book
1209,book,followed
1210,followed,withsuccession
1211,withsuccession,messengers
1212,messengers,gave
1213,gave,jesus
1214,jesus,son
1215,son,mary
1216,mary,clear
1217,clear,signs
1218,signs,strengthened
1219,strengthened,holy
1220,holy,spirit
1221,spirit,whenever
1222,whenever,comes
1223,comes,youmessenger
1224,youmessenger,ye
1225,ye,desire
1226,desire,ye
1227,ye,puffed
1228,puffed,pride
1229,pride,ye
1230,ye,called
1231,called,impostors
1232,impostors,others
1233,others,ye
1234,ye,slay
1235,say,hearts
1236,hearts,wrappings
1237,wrappings,preserve
1238,preserve,allah
1239,allah,word
1240,word,need
1241,need,nay
1242,nay,allah
1243,allah,curse
1244,curse,blasphemy
1245,blasphemy,little
1246,little,believe
1247,comes,thembook
1248,thembook,allah
1249,allah,confirming
1250,confirming,although
1251,although,old
1252,old,prayed
1253,prayed,victory
1254,victory,without
1255,without,faith
1256,faith,comes
1257,comes,recognised
1258,recognised,refuse
1259,refuse,believe
1260,believe,curse
1261,curse,allah
1262,allah,without
1263,without,faith
1264,miserable,price
1265,price,sold
1266,sold,souls
1267,souls,deny
1268,deny,revelation
1269,revelation,allah
1270,allah,sent
1271,sent,insolent
1272,insolent,envy
1273,envy,allah
1274,allah,grace
1275,grace,send
1276,send,servants
1277,servants,pleases
1278,pleases,thus
1279,thus,drawn
1280,drawn,wrath
1281,wrath,upon
1282,upon,wrath
1283,wrath,humiliating
1284,humiliating,punishment
1285,punishment,reject
1286,reject,faith
1287,said,believe
1288,believe,allah
1289,allah,hath
1290,hath,sent
1291,sent,say
1292,say,believe
1293,believe,sent
1294,sent,us
1295,us,yet
1296,yet,reject
1297,reject,besides
1298,besides,even
1299,even,truth
1300,truth,confirming
1301,confirming,say
1302,say,ye
1303,ye,slain
1304,slain,prophets
1305,prophets,allah
1306,allah,times
1307,times,gone
1308,gone,ye
1309,ye,indeed
1310,indeed,believe
1311,came,moses
1312,moses,clear
1313,clear,signs
1314,signs,yet
1315,yet,ye
1316,ye,worshipped
1317,worshipped,calf
1318,calf,even
1319,even,ye
1320,ye,behave
1321,behave,wrongfully
1322,remember,took
1323,took,covenant
1324,covenant,raised
1325,raised,towering
1326,towering,height
1327,height,mount
1328,mount,sinai
1329,sinai,saying
1330,saying,hold
1331,hold,firmly
1332,firmly,given
1333,given,hearken
1334,hearken,law
1335,law,said
1336,said,hear
1337,hear,disobey
1338,disobey,drink
1339,drink,hearts
1340,hearts,taint
1341,taint,calf
1342,calf,faithlessness
1343,faithlessness,say
1344,say,vile
1345,vile,indeed
1346,indeed,behests
1347,behests,faith
1348,faith,ye
1349,ye,faith
1350,say,last
1351,last,home
1352,home,allah
1353,allah,specially
1354,specially,anyone
1355,anyone,else
1356,else,seek
1357,seek,ye
1358,ye,death
1359,death,ye
1360,ye,sincere
1361,never,seek
1362,seek,death
1363,death,account
1364,account,sins
1365,sins,hands
1366,hands,sent
1367,sent,allah
1368,allah,well
1369,well,acquainted
1370,acquainted,wrong
1371,wrong,doers
1372,thou,wilt
1373,wilt,indeed
1374,indeed,find
1375,find,people
1376,people,greedy
1377,greedy,life
1378,life,even
1379,even,idolaters
1380,idolaters,one
1381,one,wishes
1382,wishes,could
1383,could,givenlife
1384,givenlife,ofthousand
1385,ofthousand,years
1386,years,grant
1387,grant,life
1388,life,save
1389,save,due
1390,due,punishment
1391,punishment,allah
1392,allah,sees
1393,sees,well
1394,say,whoever
1395,whoever,enemy
1396,enemy,gabriel
1397,gabriel,brings
1398,brings,revelation
1399,revelation,thy
1400,thy,heart
1401,heart,allah
1402,allah,confirmation
1403,confirmation,went
1404,went,guidance
1405,guidance,glad
1406,glad,tidings
1407,tidings,believe
1408,whoever,enemy
1409,enemy,allah
1410,allah,angels
1411,angels,messengers
1412,messengers,gabriel
1413,gabriel,michael
1414,michael,lo
1415,lo,allah
1416,allah,enemy
1417,enemy,reject
1418,reject,faith
1419,sent,thee
1420,thee,manifest
1421,manifest,signs
1422,signs,ayat
1423,ayat,none
1424,none,reject
1425,reject,perverse
1426,case,every
1427,every,time
1428,time,makecovenant
1429,makecovenant,party
1430,party,among
1431,among,throw
1432,throw,aside
1433,aside,nay
1434,nay,faithless
1435,came,themmessenger
1436,themmessenger,allah
1437,allah,confirming
1438,confirming,party
1439,party,people
1440,people,book
1441,book,threw
1442,threw,away
1443,away,book
1444,book,allah
1445,allah,behind
1446,behind,backs
1447,backs,something
1448,something,know
1449,followed,evil
1450,evil,ones
1451,ones,gave
1452,gave,falsely
1453,falsely,power
1454,power,solomon
1455,solomon,blasphemers
1456,blasphemers,solomon
1457,solomon,evil
1458,evil,ones
1459,ones,teaching
1460,teaching,men
1461,men,magic
1462,magic,things
1463,things,came
1464,came,babylon
1465,babylon,angels
1466,angels,harut
1467,harut,marut
1468,marut,neither
1469,neither,taught
1470,taught,anyone
1471,anyone,things
1472,things,without
1473,without,saying
1474,saying,trial
1475,trial,blaspheme
1476,blaspheme,learned
1477,learned,means
1478,means,sow
1479,sow,discord
1480,discord,man
1481,man,wife
1482,wife,could
1483,could,thus
1484,thus,harm
1485,harm,anyone
1486,anyone,except
1487,except,allah
1488,allah,permission
1489,permission,learned
1490,learned,harmed
1491,harmed,profited
1492,profited,knew
1493,knew,buyers
1494,buyers,magic
1495,magic,would
1496,would,share
1497,share,happiness
1498,happiness,hereafter
1499,hereafter,vile
1500,vile,price
1501,price,sell
1502,sell,souls
1503,souls,knew
1504,kept,faith
1505,faith,guarded
1506,guarded,evil
1507,evil,far
1508,far,better
1509,better,reward
1510,reward,lord
1511,lord,knew
1512,ye,faith
1513,faith,say
1514,say,messenger
1515,messenger,words
1516,words,ambiguous
1517,ambiguous,import
1518,import,words
1519,words,respect
1520,respect,hearken
1521,hearken,without
1522,without,faith
1523,faith,isgrievous
1524,isgrievous,punishment
1525,never,wish
1526,wish,without
1527,without,faith
1528,faith,among
1529,among,people
1530,people,book
1531,book,pagans
1532,pagans,anything
1533,anything,good
1534,good,come
1535,come,lord
1536,lord,allah
1537,allah,choose
1538,choose,special
1539,special,mercy
1540,mercy,allah
1541,allah,lord
1542,lord,grace
1543,grace,abounding
1544,none,revelations
1545,revelations,abrogate
1546,abrogate,cause
1547,cause,forgotten
1548,forgotten,substitute
1549,substitute,something
1550,something,better
1551,better,similar
1552,similar,knowest
1553,knowest,thou
1554,thou,allah
1555,allah,hath
1556,hath,power
1557,power,things
1558,knowest,thou
1559,thou,allah
1560,allah,belongeth
1561,belongeth,dominion
1562,dominion,heavens
1563,heavens,earth
1564,earth,besides
1565,besides,ye
1566,ye,neither
1567,neither,patron
1568,patron,helper
1569,would,ye
1570,ye,question
1571,question,messenger
1572,messenger,moses
1573,moses,questioned
1574,questioned,old
1575,old,whoever
1576,whoever,changeth
1577,changeth,faith
1578,faith,unbelief
1579,unbelief,hath
1580,hath,strayed
1581,strayed,without
1582,without,doubt
1583,doubt,even
1584,even,way
1585,quitenumber,people
1586,people,book
1587,book,wish
1588,wish,could
1589,could,turn
1590,turn,people
1591,people,back
1592,back,infidelity
1593,infidelity,ye
1594,ye,believed
1595,believed,selfish
1596,selfish,envy
1597,envy,truth
1598,truth,hath
1599,hath,become
1600,become,manifest
1601,manifest,unto
1602,unto,forgive
1603,forgive,overlook
1604,overlook,till
1605,till,allah
1606,allah,accomplish
1607,accomplish,purpose
1608,purpose,allah
1609,allah,hath
1610,hath,power
1611,power,things
1612,steadfast,prayer
1613,prayer,regular
1614,regular,charity
1615,charity,whatever
1616,whatever,good
1617,good,ye
1618,ye,send
1619,send,forth
